sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,978,816,702,378
1,1023,1010,929,858,673
2,1023,1002,933,841,445
3,1023,1009,966,907,636
4,1023,1005,957,885,524
5,1023,1004,961,891,512
6,1023,1009,971,911,584
7,1023,1003,959,886,467
8,1023,1012,983,940,704
9,1023,1002,957,882,469
10,1023,1009,977,926,634
11,1023,1006,966,902,536
12,1023,1005,967,901,513
13,1023,1009,976,921,600
14,1023,1004,964,893,472
15,1023,1013,987,946,706
16,1023,1004,961,889,476
17,1023,1010,980,930,627
18,1023,1007,970,908,544
19,1023,1005,968,904,509
20,1023,1010,979,926,610
21,1023,1004,965,895,472
22,1023,1013,988,948,707
23,1023,1004,962,892,482
24,1023,1010,980,929,617
25,1023,1008,972,912,550
26,1023,1006,969,904,506
27,1023,1010,981,931,625
28,1023,1004,965,896,472
29,1023,1014,989,950,706
30,1023,1004,964,894,487
31,1023,1009,979,928,608
32,1023,1008,973,914,556
33,1023,1005,969,904,502
34,1023,1010,982,934,636
35,1023,1004,965,896,473
36,1023,1011,987,948,703
37,1023,1004,964,896,495
38,1023,1009,979,926,597
39,1023,1008,975,916,562
40,1023,1005,969,904,500
41,1023,1011,984,937,650
42,1023,1005,966,896,472
43,1023,1013,988,948,700
44,1023,1005,965,897,500
45,1023,1008,977,923,587
46,1023,1009,976,918,568
47,1023,1006,969,904,497
48,1023,1012,985,940,661
49,1023,1004,965,895,468
50,1023,1012,988,948,696
51,1023,1006,967,900,508
52,1023,1008,977,922,575
53,1023,1009,977,920,574
54,1023,1005,969,903,494
55,1023,1012,986,943,673
56,1023,1004,965,894,470
57,1023,1012,988,947,692
58,1023,1006,967,902,514
59,1023,1008,976,920,567
60,1023,1010,978,923,580
61,1023,1004,968,902,492
62,1023,1012,987,944,682
63,1023,1004,964,893,470
64,1023,1012,987,946,687
65,1023,1006,968,903,521
66,1023,1008,975,917,557
67,1023,1010,978,923,584
68,1023,1005,969,902,490
69,1023,1012,988,947,692
70,1023,1004,964,893,471
71,1023,1012,987,945,683
72,1023,1006,969,904,522
73,1023,1008,974,916,550
74,1023,1010,979,925,588
75,1023,1005,968,901,487
76,1023,1013,989,949,699
77,1023,1004,964,894,472
78,1023,1012,987,945,676
79,1023,1007,970,907,529
80,1023,1007,974,915,542
81,1023,1010,980,927,591
82,1023,1005,969,902,484
83,1023,1013,989,950,706
84,1023,1004,964,894,475
85,1022,1013,990,948,674
86,1023,1005,968,905,533
87,1023,1006,972,911,534
88,1023,1010,980,926,595
89,1023,1004,968,901,482
90,1023,1013,990,952,712
91,1023,1004,964,894,476
92,1023,1011,985,940,658
93,1023,1007,971,910,540
94,1023,1006,972,911,528
95,1023,1010,980,928,598
96,1023,1005,968,901,481
97,1023,1013,990,952,714
98,1023,1004,964,895,481
99,1023,1011,984,938,648
