sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1008,972,911,544
1,1023,1006,972,910,521
2,1023,1010,981,929,607
3,1023,1005,968,900,480
4,1023,1013,990,952,715
5,1023,1005,964,895,484
6,1023,1010,983,934,635
7,1023,1008,973,913,552
8,1023,1006,971,908,518
9,1023,1010,981,931,617
10,1023,1007,972,905,483
11,1023,1012,988,950,711
12,1023,1004,964,896,490
13,1023,1010,982,933,623
14,1023,1008,974,915,558
15,1023,1006,971,908,513
16,1023,1010,983,934,630
17,1023,1005,967,900,480
18,1023,1013,990,952,709
19,1023,1005,966,898,495
20,1023,1010,981,931,612
21,1023,1008,975,917,564
22,1023,1005,970,907,508
23,1023,1011,984,937,643
24,1023,1005,967,899,479
25,1023,1013,990,951,708
26,1023,1005,966,899,500
27,1023,1009,980,929,602
28,1023,1009,976,919,568
29,1023,1005,970,906,505
30,1023,1011,985,940,654
31,1023,1005,966,898,478
32,1023,1013,989,950,702
33,1023,1005,967,901,508
34,1023,1009,979,926,590
35,1023,1011,981,926,580
36,1023,1004,968,904,502
37,1023,1011,985,941,665
38,1023,1005,966,898,475
39,1023,1013,989,949,698
40,1023,1006,968,903,516
41,1023,1008,978,923,580
42,1023,1009,978,922,580
43,1023,1005,970,905,500
44,1023,1012,987,944,676
45,1023,1005,966,896,475
46,1023,1012,988,948,694
47,1023,1006,968,904,519
48,1023,1008,976,921,570
49,1023,1010,978,923,585
50,1023,1005,969,904,497
51,1023,1012,988,946,690
52,1023,1004,965,895,476
53,1023,1012,987,947,689
54,1023,1006,969,905,525
55,1023,1008,975,919,561
56,1023,1010,979,925,590
57,1023,1005,969,904,496
58,1023,1013,989,948,698
59,1023,1004,965,895,478
60,1022,1014,991,950,688
61,1023,1005,967,904,530
62,1023,1007,974,915,551
63,1023,1010,979,926,594
64,1023,1005,969,903,494
65,1023,1013,989,950,704
66,1023,1004,964,895,481
67,1023,1012,986,943,673
68,1023,1007,970,908,537
69,1023,1007,973,915,543
70,1023,1010,980,928,597
71,1023,1005,969,903,490
72,1023,1013,990,951,710
73,1023,1004,965,896,483
74,1023,1011,985,941,661
75,1023,1008,971,910,542
76,1023,1006,973,913,534
77,1023,1010,980,928,601
78,1023,1005,969,902,489
79,1023,1013,990,952,715
80,1023,1004,965,895,485
81,1023,1011,984,939,649
82,1023,1008,972,912,549
83,1023,1006,972,911,526
84,1023,1010,981,929,608
85,1022,1007,972,907,491
86,1023,1012,988,950,712
87,1023,1004,964,896,490
88,1023,1010,982,935,636
89,1023,1008,973,914,554
90,1023,1006,972,910,522
91,1023,1010,982,932,620
92,1023,1005,968,901,486
93,1023,1013,990,952,712
94,1023,1005,965,898,493
95,1023,1010,982,933,624
96,1023,1008,974,916,562
97,1023,1006,971,909,518
98,1023,1011,983,935,634
99,1023,1005,968,900,485
