sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1013,990,952,710
1,1023,1005,966,899,500
2,1023,1009,981,931,613
3,1023,1008,975,919,568
4,1023,1005,971,908,512
5,1023,1011,984,939,649
6,1023,1005,967,900,486
7,1023,1013,990,952,705
8,1023,1005,967,901,507
9,1023,1009,980,928,599
10,1022,1011,981,926,579
11,1023,1004,969,905,508
12,1023,1011,984,941,662
13,1023,1005,966,898,481
14,1023,1012,989,949,701
15,1023,1005,967,902,515
16,1023,1009,978,925,589
17,1023,1009,977,922,580
18,1023,1005,970,906,505
19,1023,1012,987,944,675
20,1023,1004,967,898,480
21,1023,1013,989,949,697
22,1023,1006,968,904,522
23,1023,1008,977,922,576
24,1023,1010,979,925,587
25,1023,1006,970,906,502
26,1023,1012,988,947,688
27,1023,1005,966,897,480
28,1023,1012,989,948,691
29,1023,1006,970,907,526
30,1023,1008,976,921,566
31,1023,1009,979,926,592
32,1023,1005,970,905,499
33,1023,1012,989,949,700
34,1023,1004,965,897,481
35,1023,1011,987,946,685
36,1023,1006,970,907,532
37,1023,1007,975,918,555
38,1023,1010,980,927,596
39,1023,1005,970,905,497
40,1023,1013,990,951,706
41,1023,1004,965,897,484
42,1023,1012,987,945,676
43,1023,1007,971,910,539
44,1023,1007,974,916,548
45,1023,1010,981,929,600
46,1023,1005,969,904,494
47,1023,1013,990,952,712
48,1023,1004,965,897,487
49,1023,1012,986,943,664
50,1023,1008,972,912,546
51,1023,1006,973,914,537
52,1023,1010,981,930,604
53,1023,1005,969,904,492
54,1023,1013,991,953,717
55,1023,1005,965,897,489
56,1023,1011,985,939,649
57,1023,1008,973,914,553
58,1023,1006,973,913,529
59,1023,1010,982,932,613
60,1023,1004,968,903,490
61,1023,1013,991,954,717
62,1023,1004,965,898,494
63,1023,1010,983,937,637
64,1023,1008,974,916,560
65,1023,1006,972,911,522
66,1023,1011,982,934,626
67,1023,1005,969,902,488
68,1023,1013,991,954,714
69,1023,1005,966,899,498
70,1023,1010,982,934,623
71,1023,1008,975,918,566
72,1023,1006,971,909,519
73,1023,1010,983,937,640
74,1023,1005,968,901,488
75,1023,1013,990,952,711
76,1023,1005,967,901,506
77,1023,1009,981,931,610
78,1023,1009,976,919,573
79,1023,1006,971,908,514
80,1023,1011,985,940,657
81,1023,1005,967,900,488
82,1023,1013,989,951,706
83,1023,1005,967,902,514
84,1023,1009,979,927,597
85,1023,1008,976,921,580
86,1023,1005,970,907,511
87,1023,1012,986,943,671
88,1023,1005,967,899,484
89,1023,1012,989,950,703
90,1023,1006,968,904,523
91,1023,1008,978,924,584
92,1023,1010,978,924,587
93,1023,1005,970,906,507
94,1023,1012,988,946,686
95,1023,1005,966,898,484
96,1023,1012,988,949,696
97,1023,1006,969,906,526
98,1023,1008,976,922,573
99,1023,1010,979,925,592
