sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1005,969,905,503
1,1023,1012,988,948,698
2,1023,1005,965,897,484
3,1023,1012,988,948,693
4,1023,1007,970,907,533
5,1023,1007,975,919,562
6,1023,1010,980,927,598
7,1023,1005,970,905,501
8,1023,1013,990,951,709
9,1022,1006,970,902,489
10,1023,1010,985,944,682
11,1023,1007,970,908,540
12,1023,1007,974,917,554
13,1023,1010,980,929,602
14,1023,1005,969,904,499
15,1023,1014,991,953,716
16,1023,1004,966,899,499
17,1023,1011,986,944,675
18,1023,1007,972,912,554
19,1023,1007,974,917,554
20,1023,1010,981,930,607
21,1023,1005,970,907,509
22,1023,1013,990,951,712
23,1023,1005,967,901,504
24,1023,1012,985,941,658
25,1023,1008,972,912,548
26,1023,1007,973,913,536
27,1023,1010,981,928,603
28,1023,1006,970,906,502
29,1023,1013,990,951,710
30,1023,1005,966,899,501
31,1023,1010,983,935,631
32,1023,1008,975,917,563
33,1023,1006,973,912,533
34,1023,1013,986,938,629
35,1023,1004,967,903,502
36,1023,1013,989,949,703
37,1023,1006,967,902,510
38,1023,1010,981,932,619
39,1023,1009,976,919,571
40,1023,1006,972,912,528
41,1023,1010,983,936,641
42,1023,1006,969,904,503
43,1023,1012,988,948,699
44,1023,1006,968,904,522
45,1023,1009,980,928,607
46,1023,1009,976,920,578
47,1023,1006,971,910,525
48,1023,1011,984,938,656
49,1023,1005,968,903,499
50,1023,1012,987,946,693
51,1023,1006,969,905,523
52,1023,1009,978,924,590
53,1023,1009,977,922,583
54,1023,1006,971,909,523
55,1023,1012,985,941,668
56,1023,1006,968,900,496
57,1023,1012,987,945,685
58,1023,1006,970,907,532
59,1022,1010,981,927,584
60,1023,1008,976,922,589
61,1023,1006,970,907,519
62,1023,1012,986,943,683
63,1023,1005,967,900,496
64,1023,1012,986,944,680
65,1023,1007,970,908,538
66,1023,1008,976,920,570
67,1023,1010,979,925,594
68,1023,1006,971,908,517
69,1023,1012,987,945,691
70,1023,1005,967,900,499
71,1023,1012,985,942,671
72,1023,1008,972,911,547
73,1023,1008,975,918,560
74,1023,1010,980,927,598
75,1023,1006,971,908,514
76,1023,1012,988,948,697
77,1023,1005,967,900,502
78,1023,1011,985,940,660
79,1023,1008,972,912,553
80,1023,1007,974,916,551
81,1023,1010,980,928,602
82,1023,1006,970,907,513
83,1023,1013,988,948,703
84,1022,1008,971,905,508
85,1023,1009,982,936,647
86,1023,1008,973,914,560
87,1023,1007,973,913,543
88,1023,1010,981,930,610
89,1023,1006,971,907,509
90,1023,1013,989,950,704
91,1023,1005,967,901,509
92,1023,1010,982,934,635
93,1023,1008,975,917,567
94,1023,1007,973,912,535
95,1023,1010,981,932,623
96,1023,1006,970,906,508
97,1023,1013,989,949,702
98,1023,1006,968,903,514
99,1023,1009,981,932,619
