sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1008,975,919,574
1,1023,1006,972,911,530
2,1023,1010,983,935,639
3,1023,1006,969,904,506
4,1023,1012,988,948,698
5,1023,1006,969,904,521
6,1023,1009,980,928,607
7,1023,1009,976,921,580
8,1023,1006,971,910,525
9,1023,1013,990,945,662
10,1023,1004,967,902,501
11,1023,1012,987,946,693
12,1023,1006,969,905,527
13,1023,1008,978,925,592
14,1023,1009,977,922,587
15,1023,1006,971,909,522
16,1023,1012,985,942,669
17,1023,1006,968,901,499
18,1023,1012,987,945,685
19,1023,1007,970,908,537
20,1023,1008,977,922,583
21,1023,1009,978,925,592
22,1023,1006,972,910,522
23,1023,1012,986,944,676
24,1023,1006,968,903,507
25,1023,1012,986,943,674
26,1023,1008,972,911,545
27,1023,1008,976,920,572
28,1023,1010,979,926,595
29,1023,1007,972,910,525
30,1023,1012,986,943,679
31,1023,1006,969,905,513
32,1023,1011,984,940,663
33,1023,1008,973,913,552
34,1022,1008,978,921,558
35,1023,1007,970,907,521
36,1023,1006,968,899,467
37,1023,1012,984,937,637
38,1023,1005,965,894,458
39,1023,1012,985,939,644
40,1023,1006,965,895,471
41,1023,1008,975,916,539
42,1023,1008,974,912,529
43,1023,1007,974,914,533
44,1023,1014,992,959,754
45,1023,1002,960,887,454
46,1023,1012,987,946,685
47,1023,1005,964,895,484
48,1023,1007,974,914,535
49,1023,1009,976,919,563
50,1023,1004,966,897,455
51,1023,1013,990,951,706
52,1023,1002,958,880,416
53,1023,1012,985,938,640
54,1023,1005,965,895,472
55,1023,1006,972,908,501
56,1023,1009,975,917,555
57,1023,1004,965,891,432
58,1023,1014,989,948,690
59,1022,1004,955,877,410
60,1023,1010,981,931,614
61,1023,1006,966,897,485
62,1023,1006,969,902,478
63,1023,1009,975,915,541
64,1023,1004,963,886,408
65,1023,1013,985,936,628
66,1023,1005,963,889,445
67,1023,1009,978,922,566
68,1023,1007,967,895,465
69,1023,1006,969,899,462
70,1023,1009,976,918,555
71,1023,1004,962,884,399
72,1023,1013,986,939,641
73,1023,1004,961,884,425
74,1023,1009,977,918,544
75,1023,1008,969,901,485
76,1023,1006,967,895,443
77,1023,1010,979,923,575
78,1023,1004,960,880,389
79,1023,1012,985,937,635
80,1023,1004,959,879,404
81,1023,1009,977,917,538
82,1023,1008,970,903,494
83,1023,1005,967,897,451
84,1023,1010,983,936,641
85,1023,1003,959,881,406
86,1023,1013,988,947,686
87,1023,1004,960,885,442
88,1023,1008,976,918,549
89,1023,1008,972,907,517
90,1023,1004,968,898,460
91,1023,1012,988,946,688
92,1023,1002,958,879,409
93,1023,1012,984,936,634
94,1023,1008,973,912,541
95,1023,1007,974,915,548
96,1023,1010,979,926,594
97,1023,1006,971,907,511
98,1023,1012,988,946,690
99,1023,1005,967,901,504
