sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1010,983,936,640
1,1023,1008,973,914,555
2,1023,1007,973,914,540
3,1023,1010,980,928,604
4,1023,1005,970,906,508
5,1023,1012,989,949,697
6,1023,1005,967,901,505
7,1023,1010,983,935,635
8,1023,1008,974,916,561
9,1023,1005,972,911,530
10,1023,1010,981,932,622
11,1023,1005,969,904,497
12,1023,1012,989,950,705
13,1023,1005,967,901,508
14,1023,1010,982,933,624
15,1023,1009,976,919,569
16,1023,1006,972,911,523
17,1023,1010,983,936,641
18,1023,1005,968,903,497
19,1023,1013,989,950,702
20,1023,1006,968,903,515
21,1023,1009,980,929,606
22,1023,1009,977,921,578
23,1023,1006,972,909,519
24,1023,1011,985,941,660
25,1023,1005,968,902,493
26,1023,1012,989,949,697
27,1023,1006,968,905,525
28,1023,1008,978,926,591
29,1023,1009,977,923,585
30,1023,1006,971,908,514
31,1023,1012,987,944,676
32,1023,1005,967,901,492
33,1023,1012,995,955,698
34,1023,1005,969,907,530
35,1023,1008,977,923,576
36,1023,1010,979,926,593
37,1023,1006,971,908,509
38,1023,1012,988,947,691
39,1023,1005,966,899,491
40,1023,1012,987,946,683
41,1023,1007,971,910,540
42,1023,1008,975,919,561
43,1023,1010,980,928,599
44,1023,1006,970,907,506
45,1023,1013,989,950,701
46,1023,1005,966,900,495
47,1023,1012,986,944,670
48,1023,1008,972,912,547
49,1023,1007,974,917,551
50,1023,1010,981,929,603
51,1023,1005,970,906,503
52,1023,1013,990,951,707
53,1023,1005,967,900,498
54,1023,1011,985,940,653
55,1023,1008,973,914,556
56,1023,1007,973,914,539
57,1023,1010,981,930,608
58,1023,1008,974,910,503
59,1023,1011,987,950,708
60,1023,1005,966,899,503
61,1023,1010,982,935,637
62,1023,1008,974,916,563
63,1023,1006,972,911,529
64,1023,1010,982,933,625
65,1023,1005,969,904,497
66,1023,1013,990,951,706
67,1023,1006,967,902,508
68,1023,1010,981,933,620
69,1023,1008,976,920,572
70,1023,1006,972,911,523
71,1023,1010,983,938,643
72,1023,1005,969,904,496
73,1023,1013,989,950,701
74,1023,1006,968,904,517
75,1023,1009,980,930,605
76,1023,1009,977,922,579
77,1023,1006,971,909,518
78,1023,1012,985,941,662
79,1023,1005,968,902,492
80,1023,1012,988,949,696
81,1023,1006,969,905,525
82,1023,1008,978,925,588
83,1023,1012,982,929,593
84,1023,1004,968,906,512
85,1023,1011,985,943,676
86,1023,1005,967,899,490
87,1023,1012,988,947,689
88,1023,1007,970,908,532
89,1023,1008,977,922,573
90,1023,1010,979,926,594
91,1023,1006,970,907,509
92,1023,1013,989,948,692
93,1023,1005,967,900,491
94,1023,1012,987,945,680
95,1023,1007,971,910,540
96,1023,1008,975,918,559
97,1023,1010,980,928,600
98,1023,1005,970,906,505
99,1023,1012,989,949,700
