sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1006,969,903,491
1,1023,1013,990,952,703
2,1023,1005,967,902,506
3,1023,1009,981,931,609
4,1023,1009,976,920,573
5,1023,1006,971,909,515
6,1023,1011,985,940,653
7,1023,1008,972,907,493
8,1023,1010,986,947,693
9,1023,1006,968,904,521
10,1023,1009,978,925,586
11,1023,1009,978,923,583
12,1023,1006,971,908,512
13,1023,1012,987,944,669
14,1023,1005,968,901,493
15,1023,1012,987,945,674
16,1023,1007,971,910,534
17,1023,1008,976,921,566
18,1023,1010,980,927,590
19,1023,1006,971,909,512
20,1023,1012,988,947,683
21,1023,1005,967,902,496
22,1023,1011,986,943,663
23,1023,1008,973,913,545
24,1023,1008,975,917,549
25,1023,1010,981,929,597
26,1023,1006,971,908,509
27,1023,1012,988,948,692
28,1023,1005,967,902,500
29,1023,1010,984,938,641
30,1023,1008,974,916,556
31,1023,1007,974,914,535
32,1023,1012,986,936,608
33,1023,1004,968,905,504
34,1023,1012,987,947,692
35,1023,1006,968,902,508
36,1023,1010,981,932,620
37,1023,1009,975,918,565
38,1023,1006,973,912,525
39,1023,1010,982,934,624
40,1023,1006,970,906,503
41,1023,1013,988,948,688
42,1023,1006,969,905,515
43,1023,1009,980,929,600
44,1023,1009,977,922,574
45,1023,1006,972,911,520
46,1023,1011,984,939,647
47,1023,1006,969,904,498
48,1023,1012,987,945,678
49,1023,1007,971,908,527
50,1023,1008,978,924,578
51,1023,1010,979,925,584
52,1023,1006,972,910,516
53,1023,1012,986,944,666
54,1023,1006,968,903,496
55,1023,1012,987,945,672
56,1023,1007,972,911,536
57,1023,1009,980,926,567
58,1023,1008,978,926,593
59,1023,1006,971,908,511
60,1023,1012,988,946,683
61,1023,1006,968,902,496
62,1023,1011,985,942,658
63,1023,1008,973,913,547
64,1023,1007,974,917,548
65,1023,1010,981,929,597
66,1023,1006,971,908,507
67,1023,1013,988,949,691
68,1023,1006,968,903,502
69,1023,1011,984,938,640
70,1023,1008,974,916,554
71,1023,1007,974,915,535
72,1023,1010,981,931,603
73,1023,1006,971,908,505
74,1023,1013,989,950,691
75,1023,1006,969,904,507
76,1023,1010,982,933,620
77,1023,1009,976,920,565
78,1023,1007,973,913,525
79,1023,1010,982,934,622
80,1023,1006,971,907,503
81,1023,1012,988,948,687
82,1023,1008,973,911,520
83,1023,1008,978,928,600
84,1023,1009,977,922,574
85,1023,1007,973,912,522
86,1023,1011,985,939,647
87,1023,1006,970,906,500
88,1023,1012,988,947,681
89,1023,1007,971,909,526
90,1023,1008,979,926,583
91,1023,1010,979,926,585
92,1023,1006,972,911,519
93,1023,1012,986,943,663
94,1023,1006,969,904,499
95,1023,1012,987,945,670
96,1023,1008,972,912,537
97,1023,1008,977,922,569
98,1023,1010,980,927,590
99,1023,1006,972,911,516
