sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1005,966,900,494
1,1023,1012,986,943,667
2,1023,1008,972,913,549
3,1023,1007,974,916,548
4,1023,1010,981,930,604
5,1023,1006,970,906,502
6,1023,1013,990,951,708
7,1023,1005,967,900,498
8,1023,1013,989,944,655
9,1023,1006,971,912,556
10,1023,1006,972,912,535
11,1023,1010,981,930,612
12,1023,1006,969,904,498
13,1023,1013,989,951,708
14,1023,1005,966,900,502
15,1023,1010,982,935,634
16,1023,1008,974,916,565
17,1023,1006,972,910,527
18,1023,1011,982,933,629
19,1023,1005,969,903,495
20,1023,1013,990,951,707
21,1023,1006,967,901,508
22,1023,1010,981,932,618
23,1023,1009,976,920,572
24,1023,1006,971,910,520
25,1023,1011,984,938,649
26,1023,1005,968,902,494
27,1023,1013,989,951,702
28,1023,1006,968,903,516
29,1023,1009,980,929,603
30,1023,1009,977,922,581
31,1023,1005,971,909,515
32,1023,1011,985,942,664
33,1022,1007,972,902,491
34,1023,1011,986,947,693
35,1023,1006,968,905,524
36,1023,1008,978,925,586
37,1023,1010,978,924,588
38,1023,1005,970,907,509
39,1023,1012,987,945,682
40,1023,1005,966,899,488
41,1023,1012,988,947,689
42,1023,1006,969,907,530
43,1023,1008,976,920,569
44,1023,1010,979,927,596
45,1023,1006,970,906,504
46,1023,1012,988,948,697
47,1023,1004,965,898,487
48,1023,1012,987,945,681
49,1023,1007,971,910,540
50,1023,1007,975,918,556
51,1023,1010,980,929,601
52,1023,1005,969,905,500
53,1023,1013,990,950,706
54,1023,1004,966,899,491
55,1023,1012,985,942,664
56,1023,1008,972,912,549
57,1023,1007,973,914,541
58,1022,1012,985,935,610
59,1023,1004,967,902,495
60,1023,1013,989,950,711
61,1023,1005,966,898,495
62,1023,1010,984,938,646
63,1023,1008,973,915,558
64,1023,1006,972,911,529
65,1023,1010,982,931,617
66,1023,1005,969,903,492
67,1023,1013,990,952,709
68,1023,1005,966,900,500
69,1023,1010,982,934,627
70,1023,1009,975,918,567
71,1023,1006,971,910,522
72,1023,1010,983,935,636
73,1023,1005,968,902,491
74,1023,1013,990,951,703
75,1023,1005,967,902,510
76,1023,1009,980,930,608
77,1023,1009,977,921,576
78,1023,1006,971,909,516
79,1023,1011,985,940,657
80,1023,1005,968,901,490
81,1023,1013,989,949,699
82,1023,1006,968,904,520
83,1022,1010,982,930,594
84,1023,1008,976,921,584
85,1023,1005,969,906,509
86,1023,1012,986,943,673
87,1023,1005,967,899,486
88,1023,1012,988,948,690
89,1023,1006,969,906,527
90,1023,1008,977,921,572
91,1023,1010,979,926,592
92,1023,1006,970,906,504
93,1023,1012,988,947,690
94,1023,1005,966,898,486
95,1023,1012,987,945,682
96,1023,1007,971,909,536
97,1023,1008,975,918,558
98,1023,1010,980,928,599
99,1023,1005,969,905,500
