sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1013,989,950,702
1,1023,1005,966,899,490
2,1023,1012,986,943,667
3,1023,1008,972,912,546
4,1023,1007,974,915,544
5,1023,1010,981,930,604
6,1023,1005,970,905,496
7,1023,1013,990,952,708
8,1023,1004,966,899,495
9,1023,1011,984,939,648
10,1023,1008,974,915,557
11,1023,1006,973,912,529
12,1023,1010,982,931,614
13,1023,1005,969,903,493
14,1023,1013,990,953,711
15,1023,1005,966,900,500
16,1023,1010,982,934,627
17,1023,1008,975,918,566
18,1023,1006,972,910,521
19,1023,1011,983,936,636
20,1023,1005,968,902,491
21,1023,1013,989,951,702
22,1023,1005,968,902,510
23,1023,1009,980,929,606
24,1023,1009,977,921,577
25,1023,1005,971,908,514
26,1023,1011,985,941,658
27,1023,1005,967,901,488
28,1023,1012,989,949,696
29,1023,1006,968,904,522
30,1023,1008,978,924,584
31,1023,1009,978,924,587
32,1023,1006,970,907,508
33,1023,1010,985,943,678
34,1023,1004,966,898,486
35,1023,1012,988,947,686
36,1023,1007,970,908,531
37,1023,1008,976,920,567
38,1023,1010,979,927,595
39,1023,1006,970,906,502
40,1023,1013,989,949,696
41,1023,1005,966,898,487
42,1023,1012,987,944,674
43,1023,1007,971,910,541
44,1023,1007,975,916,549
45,1023,1010,981,929,601
46,1023,1006,970,905,499
47,1023,1013,990,951,705
48,1023,1005,966,899,493
49,1023,1011,985,940,654
50,1023,1008,973,914,553
51,1023,1006,973,913,534
52,1023,1010,982,932,609
53,1023,1006,970,905,495
54,1023,1013,990,952,708
55,1023,1005,967,900,499
56,1023,1010,983,935,632
57,1023,1009,975,918,564
58,1023,1005,971,910,522
59,1023,1010,982,935,629
60,1023,1005,969,903,492
61,1023,1013,990,952,703
62,1023,1006,968,902,508
63,1023,1009,981,930,608
64,1023,1009,976,921,574
65,1023,1006,971,908,515
66,1023,1011,985,940,655
67,1023,1005,967,901,488
68,1023,1012,988,949,695
69,1023,1006,969,905,521
70,1023,1009,978,926,587
71,1023,1010,978,924,585
72,1023,1005,970,907,507
73,1023,1012,987,945,676
74,1023,1005,967,900,486
75,1023,1012,988,948,686
76,1023,1006,970,908,530
77,1023,1008,977,921,566
78,1023,1010,980,927,594
79,1023,1006,970,906,503
80,1023,1012,989,948,693
81,1023,1005,966,899,487
82,1023,1014,991,950,678
83,1023,1006,969,909,540
84,1023,1007,974,916,550
85,1023,1010,980,929,600
86,1023,1005,969,905,497
87,1023,1013,989,951,704
88,1023,1005,966,899,491
89,1023,1011,985,940,653
90,1023,1008,973,914,552
91,1023,1006,973,913,533
92,1023,1010,982,932,608
93,1023,1005,969,905,494
94,1023,1014,990,952,707
95,1023,1005,967,900,498
96,1023,1010,983,935,630
97,1023,1009,975,918,564
98,1023,1006,972,911,523
99,1023,1010,982,935,629
