sample_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4
0,1023,1013,1023,1023,1004
1,1023,1013,1023,1023,1004
2,1023,1013,1023,1023,1004
3,1023,1013,1023,1023,1004
4,1023,1013,1023,1023,1004
5,1023,1013,1023,1023,1004
6,1023,1013,1023,1023,1005
7,1023,1013,1023,1023,1004
8,1023,1013,1023,1023,1004
9,1023,1012,1023,1023,1005
10,1022,1013,1022,1022,1009
11,1023,1012,1023,1023,1002
12,1023,1012,1023,1023,1003
13,1023,1013,1023,1023,1003
14,1023,1013,1023,1023,1004
15,1023,1013,1023,1023,1004
16,1023,1012,1023,1023,1004
17,1023,1013,1023,1023,1004
18,1023,1013,1023,1023,1003
19,1023,1013,1023,1023,1005
20,1023,1013,1023,1023,1005
21,1023,1013,1023,1023,1004
22,1023,1013,1023,1023,1004
23,1023,1013,1023,1023,1004
24,1023,1013,1023,1023,1004
25,1023,1013,1023,1023,1004
26,1023,1013,1023,1023,1004
27,1023,1013,1023,1023,1004
28,1023,1013,1023,1023,1004
29,1023,1013,1023,1023,1004
30,1023,1012,1023,1023,1003
31,1023,1013,1023,1023,1003
32,1023,1013,1023,1023,1002
33,1023,1013,1023,1023,1001
34,1023,1013,1023,1023,1001
35,1023,1012,1023,1023,1002
36,1023,1012,1023,1023,1002
37,1023,1013,1023,1023,1002
38,1023,1013,1023,1023,1004
39,1023,1013,1023,1023,1003
40,1023,1013,1023,1023,1003
41,1023,1013,1023,1023,1003
42,1023,1013,1023,1023,1003
43,1023,1013,1023,1023,1003
44,1023,1013,1023,1023,1003
45,1023,1012,1023,1023,1003
46,1023,1012,1023,1023,1003
47,1023,1012,1023,1023,1004
48,1023,1012,1023,1023,1005
49,1023,1012,1023,1023,1005
50,1023,1013,1023,1023,1006
51,1023,1013,1023,1023,1005
52,1023,1013,1023,1023,1005
53,1023,1013,1023,1023,1006
54,1023,1013,1023,1023,1005
55,1023,1012,1023,1023,1006
56,1023,1013,1023,1023,1006
57,1023,1013,1023,1023,1005
58,1023,1013,1023,1023,1005
59,1023,1013,1023,1023,1003
60,1023,1012,1023,1023,1003
61,1023,1012,1023,1023,1002
62,1023,1013,1023,1023,1003
63,1023,1012,1023,1023,1002
64,1023,1013,1023,1023,1002
65,1023,1012,1023,1023,1003
66,1023,1013,1023,1023,1003
67,1023,1013,1023,1023,1004
68,1023,1013,1023,1023,1004
69,1023,1013,1023,1023,1005
70,1023,1013,1023,1023,1003
71,1023,1013,1023,1023,1004
72,1023,1013,1023,1023,1004
73,1023,1013,1023,1023,1004
74,1023,1013,1023,1023,1004
75,1023,1012,1023,1023,1004
76,1023,1012,1023,1023,1004
77,1023,1012,1023,1023,1004
78,1023,1012,1023,1023,1003
79,1023,1013,1023,1023,1003
80,1023,1012,1023,1023,1003
81,1023,1013,1023,1023,1004
82,1023,1012,1023,1023,1004
83,1023,1012,1023,1023,1004
84,1023,1014,1022,1022,1009
85,1023,1012,1023,1023,1002
86,1023,1012,1023,1023,1003
87,1023,1012,1023,1023,1003
88,1023,1013,1023,1023,1004
89,1023,1013,1023,1023,1004
90,1023,1012,1023,1023,1003
91,1023,1013,1023,1023,1004
92,1023,1013,1023,1023,1004
93,1023,1012,1023,1023,1005
94,1023,1013,1023,1023,1004
95,1023,1013,1023,1023,1005
96,1023,1012,1023,1023,1005
97,1023,1012,1023,1023,1004
98,1023,1012,1023,1023,1004
99,1023,1013,1023,1023,1004
